timestamp,tag,duration,package_0,package_1,PKG,dram_0,dram_1,DRAM,nvidia_gpu_0,Time-sd,pkg-sd,dram-sd
1697118269,test_linear_regression_inference,0.02313780785,634185,621553.5,1255738.5,99486,72634.5,172120.5,0,0,0,0
1697118449,test_linear_regression_inference,0.02079355717,496305,602325,1098630,102865.5,74632.5,177498,0,0,0,0
1697118088,test_linear_regression_inference,0.02102530003,506466,624847.5,1131313.5,77733,74358,152091,0,0,0,0
1697118569,test_linear_regression_inference,0.02142119408,491359.5,472410,963769.5,103414.5,73260,176674.5,0,0,0,0
1697118148,test_linear_regression_inference,0.02087724209,502623,462249,964872,79659,76216.5,155875.5,0,0,0,0
1697128783,test_neural_network_regression,22.96649301,3537349101,3407767889,6945116990,127358181,110305890,237664071,265476.9,0.08,23.45,0.65
1697128588,test_neural_network_regression,22.79446578,3525318279,3341568011,6866886290,125666536.5,118110798,243777334.5,257115.3,0,0,0
1697128848,test_neural_network_regression,23.01633489,3543822225,3413209127,6957031352,129017326.5,105458989.5,234476316,264501.9,0,0,0
1697128718,test_neural_network_regression,22.81132829,3521570022,3388858268,6910428290,126350145,109669099.5,236019244.5,258780.6,0,0,0
1697128979,test_neural_network_regression,23.15649962,3580110248,3474135576,7054245824,129625344,103964395.5,233589739.5,268710,0,0,0
1697128522,test_neural_network_regression,22.44894362,3462651599,3341059623,6803711222,122387692.5,115426683,237814375.5,256982.7,0,0,0
1697128913,test_neural_network_regression,23.64234316,3642881571,3516319949,7159201520,130906917,105807168,236714085,271330.8,0,0,0
1697128653,test_neural_network_regression,22.72542465,3520925681,3321925335,6842851016,126000459,108513040.5,234513499.5,255672.3,0,0,0
1697128457,test_neural_network_regression,22.73478877,3539317293,3331660023,6870977316,124895070,113091354,237986424,253593.6,0,0,0
1697128392,test_neural_network_regression,22.84539127,3574168587,3355596972,6929765559,127067152.5,111309178.5,238376331,254642.7,0,0,0
1697127546,test_support_vector_regression,485.9766369,21167057291,26616892433,47783949723,2137756698,2429989421,4567746119,5682530.1,0.07,4.9,7.53
1697126289,test_support_vector_regression,485.4504155,21140026875,26586079709,47726106584,2141171379,2400205325,4541376704,5562433.5,0,0,0
1697125870,test_support_vector_regression,486.1150848,21164276111,26607652403,47771928513,2144737121,2436846467,4581583587,5537430.6,0,0,0
1697126708,test_support_vector_regression,486.0534866,21172291443,26622621239,47794912682,2141527266,2458581728,4600108994,5632727.1,0,0,0
1697126917,test_support_vector_regression,485.7200172,21156010295,26605349402,47761359696,2138429291,2415649271,4554078561,5638885.2,0,0,0
1697125660,test_support_vector_regression,486.3830076,21173857812,26616123941,47789981753,2147130486,2365249217,4512379703,5563170.6,0,0,0
1697126079,test_support_vector_regression,485.9395398,21160862118,26601084243,47761946361,2141946360,2370354372,4512300732,5569324.8,0,0,0
1697127127,test_support_vector_regression,486.0806477,21173138483,26621291898,47794430381,2141346605,2464398792,4605745397,5646353.7,0,0,0
1697127336,test_support_vector_regression,485.6849919,21154828442,26609069637,47763898079,2139884438,2423336099,4563220536,5646981.6,0,0,0
1697126217,test_support_vector_regression_inference,186.8496215,8134572101,10226163398,18360735498,824545260,834290563.5,1658835824,2164601.4,0.03,2.78,0.81
1697127055,test_support_vector_regression_inference,186.7816522,8134798694,10225508886,18360307580,823486554,838878795,1662365349,2151255.6,0,0,0
1697126008,test_support_vector_regression_inference,186.9754858,8138780402,10229882810,18368663211,825197953.5,834745594.5,1659943548,2144551.5,0,0,0
1697126846,test_support_vector_regression_inference,186.9077987,8137620252,10232330832,18369951084,822345228,846373459.5,1668718688,2138280.3,0,0,0
1697125798,test_support_vector_regression_inference,187.1062285,8143884090,10242178398,18386062488,819524853,839355309,1658880162,2114513.7,0,0,0
1697127684,test_support_vector_regression_inference,186.8933855,8136822371,10230370601,18367192971,823069323,835307617.5,1658376941,2133366.3,0,0,0
1697126427,test_support_vector_regression_inference,186.6797648,8125965158,10218465023,18344430180,822077743.5,833409076.5,1655486820,2152285.2,0,0,0
1697127265,test_support_vector_regression_inference,186.9557265,8139070440,10234946943,18374017383,821969442,840008556,1661977998,2166586.5,0,0,0
1697127474,test_support_vector_regression_inference,186.7916525,8132137538,10229668574,18361806111,822557560.5,841158967.5,1663716528,2173926.3,0,0,0
1697126636,test_support_vector_regression_inference,186.6960425,8127181616,10218502377,18345683993,822651192,838924375.5,1661575568,2144844,0,0,0
