timestamp,tag,duration,package_0,package_1,PKG,dram_0,dram_1,DRAM,nvidia_gpu_0
1697202855,test_logistic_regression_classification_inference,0.1278924942,1619870,1576540,3196410,262090,205630,467720,0
1697201681,test_logistic_regression_classification_inference,0.1324653625,1591180,1672360,3263540,302940,257960,560900,0
1697204369,test_logistic_regression_classification_inference,0.09793758392,1361080,1380000,2741080,214810,191860,406670,0
1697204859,test_logistic_regression_classification_inference,0.1448392868,1917110,1902460,3819570,306760,274790,581550,0
1697200888,test_logistic_regression_classification_inference,0.1501703262,1891470,1931140,3822610,347620,266370,613990,0
1697205423,test_logistic_regression_classification_inference,0.1228427887,1654660,1619260,3273920,260560,220160,480720,0
1697200597,test_logistic_regression_classification_inference,0.1036548615,1353760,1624140,2977900,221240,205930,427170,270
1697201893,test_logistic_regression_classification_inference,0.1266813278,1663200,1835930,3499130,257040,237300,494340,0
1697203273,test_random_forest_classification,115.2114582,2492904390,3052389030,5545293420,252435620,265296790,517732410,787660
1697206003,test_random_forest_classification,113.9549923,2466485390,2990809600,5457294990,249956870,259543540,509500410,754930
1697202679,test_random_forest_classification,114.5400906,2479737310,3037509310,5517246620,251814600,261915040,513729640,771310
1697200046,test_random_forest_classification,113.521204,2456318780,2972411210,5428729990,250171980,260576140,510748120,779320
1697200494,test_random_forest_classification,113.6382723,2459163010,3012774270,5471937280,249852520,263258680,513111200,773650
1697200954,test_random_forest_classification,114.1517878,2467767120,2993131990,5460899110,249935300,258315260,508250560,768540
1697201711,test_random_forest_classification,114.9494123,2488058820,3013061140,5501119960,253309090,260892080,514201170,765490
1697204648,test_random_forest_classification,114.9060011,2484988150,3015818690,5500806840,252178730,261514180,513692910,781240
1697201608,test_random_forest_classification,114.0405798,2467293490,3023089790,5490383280,251118750,261760350,512879100,757490
1697205453,test_random_forest_classification,114.2784691,2470969010,3028426700,5499395710,251935770,258817410,510753180,761460
1697199841,test_random_forest_classification_inference,2.913923264,47180660,54691030,101871690,6450020,6367400,12817420,8030
1697204889,test_random_forest_classification_inference,2.937297822,48203000,55900730,104103730,6466240,6280500,12746740,26370
1697204205,test_random_forest_classification_inference,2.876887322,47010980,54144760,101155740,6416210,6143560,12559770,13300
1697202275,test_random_forest_classification_inference,2.90172577,47554200,54573830,102128030,6433190,6229080,12662270,12140
1697203612,test_random_forest_classification_inference,2.910432816,48024780,54678210,102702990,6491480,6383620,12875100,7010
1697201123,test_random_forest_classification_inference,2.955813408,48159060,54977280,103136340,6584510,6319820,12904330,15730
1697202305,test_random_forest_classification_inference,2.897548676,46469000,53870100,100339100,6322120,6084970,12407090,13170
1697200984,test_random_forest_classification_inference,2.84670353,45795780,53254260,99050040,6207370,6058190,12265560,16390
1697202214,test_random_forest_classification_inference,2.90435791,46423220,53659530,100082750,6393570,6180130,12573700,10980
1697203061,test_random_forest_classification_inference,2.879137992,46677120,54232650,100909770,6342460,6193900,12536360,22080
1697201535,test_SVM_classification,2308.810182,50317205780,63084193360,113401399140,5073015490,5450615510,10523631000,15663600
1697204132,test_SVM_classification,2310.607042,50415599700,62591447430,113007047130,5095907660,5423059450,10518967110,15597570
1697205556,test_SVM_classification,2309.53569,50305476080,63095052100,113400528180,5064252720,5458993490,10523246210,15829920
1697203552,test_SVM_classification,2309.109178,50326719920,62488226870,112814946790,5070964530,5462415030,10533379560,15546060
