new_tag,timestamp,time,package0,package1,dram0,dram1
test_bagging_classification,1684645219.43384,4.07407379150391,178826385,212598394,18534924,20198907
test_bagging_classification,1684645253.54848,4.03906750679016,175350808,208407791,17749774,19219263
test_bagging_classification,1684645287.62203,4.33380627632141,188101814,222987344,19013922,20945838
test_bagging_classification,1684645321.99056,4.02878594398499,174781352,207802386,17609107,19218406
test_bagging_classification,1684645356.05407,4.01902627944946,174383587,207227497,17659184,19058261
test_bagging_classification,1684645390.10751,4.02740716934204,174844645,208205888,17691941,18997352
test_bagging_classification,1684645424.16935,4.18588757514954,182021690,215629697,18440264,19896288
test_bagging_classification,1684645458.3894,4.12436056137085,178984771,212556707,18048125,19431581
test_bagging_classification,1684645492.54797,3.98283290863037,172743272,205579979,17414659,18867807
test_bagging_classification,1684645526.56506,4.01286816596985,174120954,207344562,17558066,18962330
,,4.08281161785126,177415927.8,210834024.5,17971996.6,19479603.3
