"new_tag","timestamp","time","package0","package1","dram0","dram1"
"test_neural_network_regression_inference",1787820721.25856,0.0075995922088623,262451,230895,43207,32206
"test_support_vector_regression",1787820751.30121,32.9174966812134,1734799880,1352174700,155419680,106808964
"test_gaussian_regression_inference",1787820814.25233,0.00925898551940918,291381,286865,51194,35558
"test_linear_regression",1787820844.29611,0.011446475982666,381774,343321,61398,41784
"test_support_vector_regression_inference",1787820874.34246,2.8760073184967,150552532,116897772,12931146,9335051
"test_decision_tree_regression_inference",1787820907.25221,0.0123641490936279,404845,364135,63510,44401
"test_support_vector_regression",1787820937.29903,32.8696939945221,1732615316,1351531574,151454379,106667224
"test_decision_tree_regression_inference",1787821000.20227,0.0123188495635986,377257,364135,62868,42350
"test_neural_network_regression",1787821030.24899,1.42086982727051,72563596,56968421,8059352,4614802
"test_neural_network_regression_inference",1787821061.70329,0.0075681209564209,263305,229675,42916,29070
"test_decision_tree_regression",1787821091.7461,0.154393911361694,5945725,4687427,751536,501351
"test_gaussian_regression_inference",1787821121.93383,0.00916600227355957,292846,286620,51592,35603
"test_support_vector_regression_inference",1787821151.95375,2.79692816734314,145800896,113619033,12454919,9077199
"test_gaussian_regression",1787821184.7841,0.0697307586669922,2310480,1848994,384642,230694
"test_linear_regression_inference",1787821214.88747,0.00737619400024414,250793,234069,41509,29101
"test_linear_regression",1787821244.93004,0.0110030174255371,353393,312011,62011,41998
"test_gaussian_regression",1787821274.97616,0.0675618648529053,2260493,1793269,384703,224527
"test_decision_tree_regression",1787821305.07723,0.147241353988647,5647447,4465320,715719,481659
"test_linear_regression_inference",1787821335.25792,0.00734567642211914,259277,233459,41647,26072
"test_support_vector_regression",1787821365.30049,32.9330167770386,1734624527,1345763461,154230074,106867471
"test_linear_regression",1787821428.26693,0.0113999843597412,382689,339294,61598,41998
"test_gaussian_regression_inference",1787821458.31362,0.00925946235656738,320739,284606,51484,35573
"test_decision_tree_regression_inference",1787821488.35803,0.0120036602020264,381285,341430,58018,45135
"test_neural_network_regression",1787821518.40446,4.60040712356567,239292966,188034248,26136592,14930903
"test_support_vector_regression_inference",1787821553.0383,2.87070727348328,150121686,116653083,12911089,9318985
"test_neural_network_regression_inference",1787821585.94254,0.00762796401977539,262511,229735,41494,32375
