"new_tag","timestamp","time","package0","package1","dram0","dram1"
"test_SVM_classification",1787826952.79412,17.4161760807037,919547268,712417487,78957058,56517206
"test_logistic_regression_classification_inference",1787827000.24381,0.0108687877655029,344787,308166,59272,41983
"test_gaussian_NB_classification_inference",1787827030.28989,0.0111160278320312,345581,305725,60038,42105
"test_decision_tree_classification",1787827060.3359,0.775883436203003,38191369,30299300,3639671,2522251
"test_logistic_regression_classification",1787827091.14518,0.291628122329712,13303799,10372837,1323511,950619
"test_random_forest_classification",1787827121.47009,23.2419717311859,1187879405,956084467,109704565,75421060
"test_gaussian_NB_classification",1787827174.74556,0.0130150318145752,407592,367004,64934,48578
"test_decision_tree_classification_inference",1787827204.7929,0.0117077827453613,378173,335876,60312,42044
"test_decision_tree_classification_inference",1787827234.83898,0.0116622447967529,382873,336792,59180,42045
"test_SVM_classification_inference",1787827264.88541,2.40817666053772,125334823,97533808,10760245,7820304
"test_SVM_classification",1787827297.32694,17.4664282798767,921530722,710923901,79177684,56673679
"test_gaussian_NB_classification",1787827344.82691,0.0132055282592773,411437,390929,67641,48654
"test_random_forest_classification",1787827374.87505,23.3008165359497,1190737613,951582952,110970487,75614176
"test_random_forest_classification_inference",1787827428.20937,0.814252614974976,39355917,31984903,3885175,2646808
"test_logistic_regression_classification",1787827459.0572,0.288695096969604,13087857,10177647,1327122,937645
"test_gaussian_NB_classification_inference",1787827489.37919,0.0112814903259277,344299,311340,59196,42182
"test_decision_tree_classification",1787827519.42483,0.776334762573242,38304956,30357588,3617303,2522588
"test_logistic_regression_classification_inference",1787827550.23449,0.0131964683532715,430663,390075,65714,48639
"test_logistic_regression_classification_inference",1787827580.2829,0.0121438503265381,373840,340453,61674,45349
"test_random_forest_classification_inference",1787827610.32937,0.8063805103302,38859947,31525738,3866769,2620614
"test_random_forest_classification",1787827641.16926,23.3001487255096,1190975527,955909540,110133363,75609494
"test_logistic_regression_classification",1787827694.50304,0.291317939758301,13283108,10327610,1326953,950512
"test_SVM_classification",1787827724.82768,17.3955016136169,918560942,716461605,79960309,56453894
"test_gaussian_NB_classification_inference",1787827772.25673,0.0456047058105469,1440548,1201413,231351,152587
"test_decision_tree_classification_inference",1787827802.32181,0.0123846530914307,406737,358276,64673,45334
"test_gaussian_NB_classification",1787827832.3694,0.0131769180297852,405639,388121,69049,46390
"test_SVM_classification_inference",1787827862.4172,2.38666749000549,124437852,96822567,10792238,7747676
"test_decision_tree_classification",1787827894.83726,0.778160095214844,38359582,30175949,3681226,2527163
"test_random_forest_classification_inference",1787827925.64888,0.786704540252686,37969751,30493331,3717624,2562734
"test_decision_tree_classification",1787827956.46905,0.790322542190552,38938072,30680891,3732848,2568518
"test_random_forest_classification",1787827987.29281,23.2167716026306,1186498671,957652395,110138855,75339817
"test_logistic_regression_classification_inference",1787828040.5431,0.0107955932617188,345214,313048,55233,38724
"test_SVM_classification",1787828070.58864,17.4756033420563,921988546,714277407,79253220,56709450
"test_gaussian_NB_classification_inference",1787828118.0978,0.01149582862854,372802,334899,60282,42304
"test_logistic_regression_classification",1787828148.14418,0.297747850418091,13661708,10637851,1350148,969637
"test_SVM_classification_inference",1787828178.47527,2.38483786582947,124302355,96739926,10703742,7743254
"test_gaussian_NB_classification",1787828210.89342,0.0127315521240234,406676,370726,63832,45074
"test_decision_tree_classification_inference",1787828240.94111,0.0117354393005371,378966,338073,59838,42060
