task_type,dataset,algo,phase,lang,n,rt_mean_s,rt_sd_s,rt_cv_pct,pkg_mean_J,pkg_sd_J,pkg_cv_pct,dram_mean_J,dram_sd_J,dram_cv_pct
Classification,Dataset3,Support Vector Machine,Training,R,10,21.9624,0.1785,0.81,2068.17,16.24,0.79,175.13,2.14,1.22
Classification,Dataset3,Support Vector Machine,Inference,Python,10,10.6493,0.0323,0.30,989.99,4.94,0.50,82.03,0.40,0.48
Classification,Dataset3,Support Vector Machine,Inference,R,10,6.0402,0.0598,0.99,567.11,6.27,1.11,47.50,0.53,1.12
Classification,Dataset3,Random Forest,Training,Python,9,255.5841,0.7986,0.31,23635.96,65.26,0.28,2048.53,10.14,0.49
Classification,Dataset3,Random Forest,Training,R,4,1735.0206,29.9148,1.72,160808.35,2719.35,1.69,15172.62,241.72,1.59
Classification,Dataset3,Random Forest,Inference,Python,10,10.9044,0.1119,1.03,1002.80,9.05,0.90,87.56,0.95,1.08
Classification,Dataset3,Random Forest,Inference,R,10,48.5638,0.4655,0.96,4467.03,45.76,1.02,401.54,5.71,1.42
Classification,Dataset3,Logistic Regression,Training,Python,10,0.6650,0.0656,9.87,128.10,15.11,11.80,6.64,0.60,9.09
Classification,Dataset3,Logistic Regression,Training,R,10,5.8668,0.0604,1.03,559.90,5.46,0.98,56.50,0.60,1.06
Classification,Dataset3,Logistic Regression,Inference,Python,10,0.0171,0.0036,20.85,1.21,0.30,24.62,0.14,0.03,19.70
Classification,Dataset3,Logistic Regression,Inference,R,10,0.0810,0.0107,13.18,5.04,0.73,14.47,0.71,0.08,10.93
Classification,Dataset3,Decision Tree,Training,Python,10,12.5998,0.0400,0.32,1161.61,5.02,0.43,98.85,0.59,0.59
Classification,Dataset3,Decision Tree,Training,R,10,57.6394,0.4506,0.78,5404.62,40.71,0.75,531.85,5.40,1.02
Classification,Dataset3,Decision Tree,Inference,Python,10,0.1251,0.0015,1.21,8.35,0.15,1.76,0.99,0.01,1.30
Classification,Dataset3,Decision Tree,Inference,R,10,0.2501,0.2632,105.21,19.66,24.52,124.69,2.28,2.27,99.49
